url	first_seen	portal	title	company	status
https://www.pathai.com/careers/8308240002?gh_jid=8308240002	2026-04-28	greenhouse-api	Associate Director, MLOps Engineering	PathAI	added
https://www.pathai.com/careers/8062963002?gh_jid=8062963002	2026-04-28	greenhouse-api	Machine Learning Engineer II/III (Applied Research & Model Development)	PathAI	added
https://job-boards.greenhouse.io/anthropic/jobs/5117581008	2026-04-28	greenhouse-api	Applied AI Architect	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5192805008	2026-04-28	greenhouse-api	Applied AI Architect, Commercial	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5065835008	2026-04-28	greenhouse-api	Applied AI Architect, Enterprise Tech	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5079540008	2026-04-28	greenhouse-api	Applied AI Architect, Federal Civilian	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5140405008	2026-04-28	greenhouse-api	Applied AI Architect, Government Technology	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4977624008	2026-04-28	greenhouse-api	Applied AI Architect, Industries	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5079511008	2026-04-28	greenhouse-api	Applied AI Architect, National Security	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5112486008	2026-04-28	greenhouse-api	Applied AI Architect, Partnerships	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5194007008	2026-04-28	greenhouse-api	Applied AI Architect, Public Sector	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5101433008	2026-04-28	greenhouse-api	Applied AI Architect, Security	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5193973008	2026-04-28	greenhouse-api	Applied AI Architect, Startups	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5140403008	2026-04-28	greenhouse-api	Applied AI Architect, State and Local Government	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5116927008	2026-04-28	greenhouse-api	Applied AI Claude Evangelist, Startups	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5014500008	2026-04-28	greenhouse-api	Applied AI Engineer	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5116274008	2026-04-28	greenhouse-api	Applied AI Engineer 	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5068226008	2026-04-28	greenhouse-api	Applied AI Engineer, Beneficial Deployments	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5057647008	2026-04-28	greenhouse-api	Applied AI Engineer, Enterprise Tech	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5111942008	2026-04-28	greenhouse-api	Applied AI Engineer, Life Sciences (Beneficial Deployments)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5073277008	2026-04-28	greenhouse-api	Applied AI Engineer, Startups	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5159608008	2026-04-28	greenhouse-api	Engineering Manager, Agent Prompts & Evals	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4985877008	2026-04-28	greenhouse-api	Forward Deployed Engineer, Applied AI	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5192104008	2026-04-28	greenhouse-api	Global Applied AI Architecture Lead, Beneficial Deployments	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5184077008	2026-04-28	greenhouse-api	Head of ANZ, Applied AI	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5064817008	2026-04-28	greenhouse-api	Head of Solutions Architects, Applied AI (Korea)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4952079008	2026-04-28	greenhouse-api	Machine Learning Systems Engineer, Research Tools	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4952051008	2026-04-28	greenhouse-api	Machine Learning Systems Engineer, RL Engineering	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5197538008	2026-04-28	greenhouse-api	Manager of Applied AI Architecture, Enterprise Tech (Cyber)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5115884008	2026-04-28	greenhouse-api	Manager of Applied AI Architecture, Industries	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5173031008	2026-04-28	greenhouse-api	Manager of Applied AI Architecture, Partnerships	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4964610008	2026-04-28	greenhouse-api	Manager of Solutions Architecture, Applied AI (Industries)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4950664008	2026-04-28	greenhouse-api	Partner Solutions Architect, Applied AI	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5186965008	2026-04-28	greenhouse-api	Product Support Specialist (Singapore - Weekend Coverage)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5107121008	2026-04-28	greenhouse-api	Prompt Engineer, Agent Prompts & Evals	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5159669008	2026-04-28	greenhouse-api	Prompt Engineer, Claude Code	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5115935008	2026-04-28	greenhouse-api	Research Engineer, Machine Learning (Reinforcement Learning)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4613568008	2026-04-28	greenhouse-api	Research Engineer, Machine Learning (Reinforcement Learning) 	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5198108008	2026-04-28	greenhouse-api	Research Engineer, Machine Learning (RL Velocity)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5122119008	2026-04-28	greenhouse-api	Support Operations Specialist, AI Agent Management	Anthropic	added
https://job-boards.greenhouse.io/gleanwork/jobs/4605215005	2026-04-28	greenhouse-api	Machine Learning Engineer, AI Assistant & Autonomous AI Agents	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4632997005	2026-04-28	greenhouse-api	Machine Learning Engineer, Enterprise Brain	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4669417005	2026-04-28	greenhouse-api	Machine Learning Engineer, LLM Evals & Observability 	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4006735005	2026-04-28	greenhouse-api	Machine Learning Engineer, Search Quality	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4525297005	2026-04-28	greenhouse-api	Product Manager, Agent Security & Governance	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4678146005	2026-04-28	greenhouse-api	Senior Data Scientist, Core Product	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4616929005	2026-04-28	greenhouse-api	Software Engineer, Agentic Runtime 	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4012745005	2026-04-28	greenhouse-api	Software Engineer, Machine Learning	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4677083005	2026-04-28	greenhouse-api	Tech Lead Manager, Agentic Runtime 	Glean	added
https://jobs.ashbyhq.com/cohere/443368a3-6276-4b90-9671-27fed40fd6d2	2026-04-28	ashby-api	Senior Member of Technical Staff, Multimodal AI	Cohere	added
https://jobs.ashbyhq.com/cohere/f931c326-4d16-44b3-812c-99378c60280f	2026-04-28	ashby-api	Member of Technical Staff, Next Generation Agents	Cohere	added
https://jobs.ashbyhq.com/cohere/24fe6a0b-6209-4ee0-b622-49c18636d99c	2026-04-28	ashby-api	Member of Technical Staff, Agents Modeling	Cohere	added
https://jobs.ashbyhq.com/cohere/70a8dc77-ac84-4790-aff6-13b4dcd4554a	2026-04-28	ashby-api	Member of Technical Staff, Agent Code	Cohere	added
https://jobs.ashbyhq.com/cohere/b0bcef37-1d20-414f-aade-c54942d63df9	2026-04-28	ashby-api	Forward Deployed Engineer, Agentic Platform	Cohere	added
https://jobs.ashbyhq.com/cohere/a5bbd015-65a9-48a1-aab1-b266bdbc9905	2026-04-28	ashby-api	Senior Software Engineer, Security Agents	Cohere	added
https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9	2026-04-28	ashby-api	Applied AI Engineer – Agentic Workflows	Cohere	added
https://jobs.ashbyhq.com/cohere/9c18b199-cd1f-4ef3-9fab-ce05589348ae	2026-04-28	ashby-api	Applied AI Engineer - Agentic Workflows (Singapore)	Cohere	added
https://jobs.ashbyhq.com/cohere/031c2335-db85-4265-8a88-a54b911be36a	2026-04-28	ashby-api	Applied AI Engineer – Agentic Workflows (Korea)	Cohere	added
https://jobs.ashbyhq.com/cohere/70664617-84f6-4ee8-a4f6-4037ebfda9db	2026-04-28	ashby-api	Senior Software Engineer, Agent Infrastructure	Cohere	added
https://jobs.ashbyhq.com/cohere/1d1b300d-254b-48c4-958f-99c6b907f295	2026-04-28	ashby-api	Product Manager, Agent Harness & Modelling	Cohere	added
https://jobs.ashbyhq.com/cohere/1f7cc5e6-5f31-40d8-ad49-fe22c98a3ea4	2026-04-28	ashby-api	Member of Technical Staff, Safety for Agents	Cohere	added
https://jobs.ashbyhq.com/cohere/39cab400-c976-41d9-9002-880ac6985b64	2026-04-28	ashby-api	Lead Data Scientist	Cohere	added
https://job-boards.greenhouse.io/arizeai/jobs/5661972004	2026-04-28	greenhouse-api	AI Engineer, Instrumentation	Arize AI	added
https://jobs.ashbyhq.com/perplexity/aa511ea8-96e3-42ba-b28f-5e222170bcee	2026-04-28	ashby-api	Member of Technical Staff (Forward Deployed Engineer, Applied AI)	Perplexity AI	added
